step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
483,1.07205,0.675,,
484,0.01773,1.0,,
485,1.24882,0.57143,,
486,0.01447,1.0,,
487,0.21731,0.95455,,
488,0.08428,1.0,,
489,0.52677,0.83333,,
490,0.70837,0.86207,,
491,0.8921,0.77778,,
492,0.28567,0.85714,,
493,0.00075,1.0,,
494,1.15081,0.60714,,
495,0.43301,0.82143,,
496,0.3994,0.82353,,
497,0.92823,0.75439,,
498,0.95774,0.66667,,
499,2.13811,0.66667,,
500,0.30984,0.9375,,
501,0.1826,0.88235,,
502,0.98708,0.80769,,
503,0.53601,0.86667,,
504,0.04677,1.0,,
505,0.00407,1.0,,
506,1.38568,0.7561,,
507,0.5453,0.91667,,
508,0.00019,1.0,,
509,0.22662,0.97531,,
510,0.55662,0.80556,,
511,0.10797,0.97849,,
512,0.23635,0.92308,,
513,0.04652,1.0,,
514,0.01073,1.0,,
515,0.09102,0.91667,,
516,0.36243,0.90476,,
517,1.14557,0.76471,,
518,0.29752,0.92857,,
519,0.16033,0.92308,,
520,0.03084,1.0,,
521,0.07629,1.0,,
522,0.02735,1.0,,
523,0.46855,0.93333,,
524,0.04343,1.0,,
525,1.30535,0.62069,,
526,0.20561,0.91667,,
527,0.20072,0.9375,,
528,3e-05,1.0,,
529,0.45075,0.92308,,
530,0.42962,0.91667,,
531,0.11159,0.97222,,
532,1.51041,0.55556,,
533,5e-05,1.0,,
534,0.33476,0.85714,,
535,0.16,0.96154,,
536,0.11516,0.95238,,
537,0.88209,0.76,,
538,0.1715,0.94118,,
539,0.19436,0.91304,,
540,1.4669,0.58333,,
541,0.00121,1.0,,
542,0.01384,1.0,,
543,0.0642,1.0,,
544,0.24318,0.90909,,
545,0.00055,1.0,,
546,0.03856,1.0,,
547,0.11009,0.91667,,
548,0.12809,0.91667,,
549,0.01958,1.0,,
550,0.00846,1.0,,
551,0.03578,1.0,,
552,0.84675,0.78947,,
553,0.00017,1.0,,
554,0.0001,1.0,,
555,1.07053,0.66667,,
556,0.20122,0.94872,,
557,0.77593,0.72222,,
558,0.06877,0.94118,,
559,0.0573,0.95,,
560,0.0,1.0,,
561,0.00044,1.0,,
562,0.00176,1.0,,
563,0.00684,1.0,,
564,0.07881,0.9375,,
565,0.16198,0.9375,,
566,0.01071,1.0,,
567,0.02347,1.0,,
568,0.1297,0.94118,,
569,1e-05,1.0,,
570,0.04775,1.0,,
571,0.01748,1.0,,
572,0.0045,1.0,,
573,0.07101,0.94737,,
574,0.00629,1.0,,
575,1.27666,0.70968,,
576,0.17632,0.96154,,
577,0.9306,0.90909,,
578,0.00012,1.0,,
579,0.40802,0.92593,,
580,0.05737,0.95833,,
581,1e-05,1.0,,
582,0.0,1.0,,
583,0.01201,1.0,,
584,0.16742,0.94872,,
585,0.25995,0.93548,,
586,0.20063,0.91667,,
587,0.01641,1.0,,
588,1.04477,0.71429,,
589,1.46972,0.75,,
590,0.00035,1.0,,
591,0.00201,1.0,,
592,0.32428,0.98,,
593,0.92474,0.74242,,
594,0.0,1.0,,
595,0.01883,1.0,,
596,0.8219,0.60714,,
597,0.06742,0.96667,,
598,1.3693,0.70213,,
599,0.2954,0.94444,,
600,0.09194,0.93333,,
601,0.05821,0.94444,,
602,0.00897,1.0,,
603,0.00071,1.0,,
604,0.00513,1.0,,
605,0.00211,1.0,,
606,0.00016,1.0,,
607,0.12246,0.9697,,
608,1.45605,0.73171,,
609,0.61184,0.92593,,
610,0.54109,0.96552,,
611,0.49187,0.85714,,
612,0.96042,0.75862,,
613,0.67554,0.80952,,
614,0.16931,0.91667,,
615,0.0009,1.0,,
616,0.88038,0.76471,,
617,0.31664,0.92857,,
618,0.22113,0.92308,,
619,0.16582,0.95833,,
620,0.14204,0.96296,,
621,0.92562,0.90741,,
622,0.79031,0.83333,,
623,0.07143,0.98925,,
624,0.22046,0.88889,,
625,0.0,1.0,,
626,0.29577,0.84615,,
627,1e-05,1.0,,
628,0.0,1.0,,
629,0.13103,0.97222,,
630,0.12665,0.94444,,
631,0.0165,1.0,,
632,0.95794,0.80769,,
633,0.12182,0.91667,,
634,0.11363,0.94595,,
635,0.32561,0.88235,,
636,0.41792,0.92,,
637,0.22136,0.93103,,
638,0.48672,0.93976,,
639,0.14792,0.90909,,
640,0.89245,0.71429,,
641,0.0,1.0,,
642,6e-05,1.0,,
643,0.35835,0.87097,,
644,0.12276,0.96667,,
645,4e-05,1.0,,
646,0.69393,0.77778,,
647,0.00309,1.0,,
648,0.16297,0.94444,,
649,7e-05,1.0,,
650,0.01413,1.0,,
651,0.37403,0.83333,,
652,0.38207,0.88889,,
653,0.09065,1.0,,
654,0.00663,1.0,,
655,0.91492,0.875,,
656,0.00132,1.0,,
657,0.05373,0.96774,,
658,1.13859,0.77778,,
659,0.00115,1.0,,
660,1.54597,0.65714,,
661,0.3982,0.90323,,
662,0.34752,0.89474,,
663,0.64603,0.85057,,
664,0.03106,1.0,,
665,0.1601,0.97297,,
666,0.38327,0.94118,,
667,0.00254,1.0,,
668,0.06039,1.0,,
669,0.00129,1.0,,
670,0.31641,0.92593,,
671,0.00508,1.0,,
672,0.90266,0.85,,
673,0.11686,0.95238,,
674,0.04392,1.0,,
675,0.03202,1.0,,
676,0.04117,1.0,,
677,0.45232,0.86667,,
678,7e-05,1.0,,
679,0.50476,0.88235,,
680,0.21386,0.95556,,
681,0.26525,0.91667,,
682,0.00851,1.0,,
683,0.7258,0.85915,,
